,prompt,completion
0,"  Answer the Query based on the contexts, if it's not in the contexts say 'I don't know the answer

Context:Holy Quran

 Query: ""In the name of Allah"" where its mention in the Holy quran?

Answer in the language of Query, if Query is in English Answer in English. Please provide reference Quran verses.",the refrence in the Holy Quran: (Quran 1:1)
1,"  Answer the Query based on the contexts, if it's not in the contexts say 'I don't know the answer

Context:Holy Quran

 Query: ""Praise be to Allah"" where its mention in the Holy quran?

Answer in the language of Query, if Query is in English Answer in English. Please provide reference Quran verses.",the refrence in the Holy Quran: (Quran 1:2)
2,"  Answer the Query based on the contexts, if it's not in the contexts say 'I don't know the answer

Context:Holy Quran

 Query: ""Most Gracious"" where its mention in the Holy quran?

Answer in the language of Query, if Query is in English Answer in English. Please provide reference Quran verses.",the refrence in the Holy Quran: (Quran 1:3)
3,"  Answer the Query based on the contexts, if it's not in the contexts say 'I don't know the answer

Context:Holy Quran

 Query: ""Master of the Day of Judgment."" where its mention in the Holy quran?

Answer in the language of Query, if Query is in English Answer in English. Please provide reference Quran verses.",the refrence in the Holy Quran: (Quran 1:4)
4,"  Answer the Query based on the contexts, if it's not in the contexts say 'I don't know the answer

Context:Holy Quran

 Query: ""Thee do we worship"" where its mention in the Holy quran?

Answer in the language of Query, if Query is in English Answer in English. Please provide reference Quran verses.",the refrence in the Holy Quran: (Quran 1:5)
5,"  Answer the Query based on the contexts, if it's not in the contexts say 'I don't know the answer

Context:Holy Quran

 Query: ""Show us the straight way"" where its mention in the Holy quran?

Answer in the language of Query, if Query is in English Answer in English. Please provide reference Quran verses.",the refrence in the Holy Quran: (Quran 1:6)
6,"  Answer the Query based on the contexts, if it's not in the contexts say 'I don't know the answer

Context:Holy Quran

 Query: ""The way of those on whom Thou hast bestowed Thy Grace"" where its mention in the Holy quran?

Answer in the language of Query, if Query is in English Answer in English. Please provide reference Quran verses.",the refrence in the Holy Quran: (Quran 1:7)
7,"  Answer the Query based on the contexts, if it's not in the contexts say 'I don't know the answer

Context:Holy Quran

 Query: ""A.L.M."" where its mention in the Holy quran?

Answer in the language of Query, if Query is in English Answer in English. Please provide reference Quran verses.",the refrence in the Holy Quran: (Quran 2:1)
8,"  Answer the Query based on the contexts, if it's not in the contexts say 'I don't know the answer

Context:Holy Quran

 Query: ""This is the Book; in it is guidance sure"" where its mention in the Holy quran?

Answer in the language of Query, if Query is in English Answer in English. Please provide reference Quran verses.",the refrence in the Holy Quran: (Quran 2:2)
9,"  Answer the Query based on the contexts, if it's not in the contexts say 'I don't know the answer

Context:Holy Quran

 Query: ""Who believe in the Unseen"" where its mention in the Holy quran?

Answer in the language of Query, if Query is in English Answer in English. Please provide reference Quran verses.",the refrence in the Holy Quran: (Quran 2:3)
