prompt,prompt,completion
"!""","""!""""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(7:39), "
"""(Allah)","""""(Allah)""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(19:88), (21:26), "
"""(And","""""(And""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(11:3), "
"""(Come)","""""(Come)""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(6:80), "
"""(Deeds)","""""(Deeds)""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(8:52), "
"""(He)","""""(He)""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(19:32), "
"""(Here","""""(Here""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(28:9), "
"""(I","""""(I""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(43:27), "
"""(It","""""(It""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(13:16), "
"""(Kept","""""(Kept""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(27:25), "
"""(Namely)","""""(Namely)""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(16:28), "
"""(Nay!)","""""(Nay!)""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(17:50), "
"""(One","""""(One""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(19:6), "
"""(Such)","""""(Such)""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(40:35), "
"""(The","""""(The""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(18:95), (39:59), "
"""(We)","""""(We)""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(56:48), "
"""(Which","""""(Which""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(77:31), "
"""(such)","""""(such)""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(8:1), "
"""A","""""A""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(2:248), (3:173), (12:44), (23:109), (40:33), (41:32), (52:30), "
"""Aaron","""""Aaron""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(20:30), "
"""Accepted","""""Accepted""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(10:89), "
"""Add","""""Add""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(20:31), "
"""Aforetime","""""Aforetime""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(52:26), "
"""Ah","""""Ah""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(10:91), (36:26), (69:19), "
"""Ah!","""""Ah!""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(7:60), (7:66), (19:23), (21:14), (21:97), (25:28), (28:82), (36:52), (69:27), (89:24), "
"""Alas","""""Alas""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(11:72), (28:80), (68:31), "
"""All","""""All""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(3:73), (56:50), "
"""Allah","""""Allah""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(2:67), (2:67), (2:116), (2:247), (3:95), (3:183), (5:72), (6:19), (6:37), (10:68), (12:51), (12:79), (18:26), (22:69), (33:12), (37:126), (37:152), (41:21), "
"""Allah!-","""""Allah!-""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(27:26), "
"""Allah�s","""""Allah�s""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(5:64), "
"""Am","""""Am""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(43:52), "
"""And","""""And""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(3:48), (3:49), (3:73), (5:111), (6:94), (7:74), (7:86), (7:87), (7:156), (10:82), (10:86), (10:105), (11:29), (11:30), (11:52), (11:64), (11:85), (11:89), (11:93), (11:122), (12:38), (14:14), (14:45), (15:35), (15:56), (17:108), (18:68), (19:25), (19:31), (19:48), (19:76), (20:17), (20:27), (20:29), (20:32), (20:34), (20:37), (20:41), (21:57), (22:27), (23:98), (26:14), (26:19), (26:22), (26:23), (26:37), (26:55), (26:80), (26:82), (26:87), (26:91), (26:92), (26:95), (26:112), (26:129), (26:130), (26:134), (26:138), (26:148), (26:149), (26:151), (26:166), (26:182), (26:183), (26:184), (28:34), (29:18), (31:18), (31:19), (36:17), (36:59), (36:61), (37:17), (37:165), (37:166), (38:44), (38:78), (38:88), (39:12), (39:55), (40:8), (40:9), (40:32), (40:34), (40:41), (43:14), (44:19), (44:24), (45:32), (51:31), (56:54), (69:26), (69:31), (69:34), (71:7), (71:22), (71:23), (72:18), (74:46), (79:18), "
"""Appoint","""""Appoint""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(2:246), "
"""Are","""""Are""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(5:53), (26:39), "
"""Art","""""Art""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(12:90), "
"""As","""""As""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(3:56), (3:57), (7:139), (17:65), (18:79), (18:80), (18:82), (67:26), (77:33), "
"""Assault","""""Assault""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(5:23), "
"""At","""""At""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(10:52), "
"""Await","""""Await""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(52:31), "
"""Aye!","""""Aye!""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(10:53), "
"""Be","""""Be""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(2:65), (7:15), (7:124), (14:13), (23:108), (28:28), "
"""Because","""""Because""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(7:16), (8:51), (8:53), "
"""Become","""""Become""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(2:135), "
"""Before","""""Before""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(12:37), "
"""Behold","""""Behold""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(10:101), (20:84), "
"""Behold!","""""Behold!""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(7:49), (20:38), (20:40), "
"""Believe","""""Believe""

 Where does this word mentioned in the Holy Quran?.

 Mention only the refrences.","(2:13), (3:72), (7:123), (20:71), (26:49), "
