,prompt,completion
0, (In the name of Allah) give me the refrence,"Refrence: (1,1)"
1, (Praise be to Allah) give me the refrence,"Refrence: (1,2)"
2, (Most Gracious) give me the refrence,"Refrence: (1,3)"
3, (Master of the Day of Judgment.) give me the refrence,"Refrence: (1,4)"
4, (Thee do we worship) give me the refrence,"Refrence: (1,5)"
5, (Show us the straight way) give me the refrence,"Refrence: (1,6)"
6, (The way of those on whom Thou hast bestowed Thy Grace) give me the refrence,"Refrence: (1,7)"
7, (A.L.M.) give me the refrence,"Refrence: (2,1)"
8, (This is the Book; in it is guidance sure) give me the refrence,"Refrence: (2,2)"
9, (Who believe in the Unseen) give me the refrence,"Refrence: (2,3)"
10, (And who believe in the Revelation sent to thee) give me the refrence,"Refrence: (2,4)"
11, (They are on (true) guidance) give me the refrence,"Refrence: (2,5)"
12, (As to those who reject Faith) give me the refrence,"Refrence: (2,6)"
13, (Allah hath set a seal on their hearts and on their hearing) give me the refrence,"Refrence: (2,7)"
14," (Of the people there are some who say: ""We believe in Allah and the Last Day;"" but they do not (really) believe.) give me the refrence","Refrence: (2,8)"
15, (Fain would they deceive Allah and those who believe) give me the refrence,"Refrence: (2,9)"
16, (In their hearts is a disease; and Allah has increased their disease: And grievous is the penalty they (incur)) give me the refrence,"Refrence: (2,10)"
17," (When it is said to them: ""Make not mischief on the earth) give me the refrence","Refrence: (2,11)"
18, (Of a surety) give me the refrence,"Refrence: (2,12)"
19," (When it is said to them: ""Believe as the others believe:"" They say: ""Shall we believe as the fools believe?"" Nay) give me the refrence","Refrence: (2,13)"
20, (When they meet those who believe) give me the refrence,"Refrence: (2,14)"
21, (Allah will throw back their mockery on them) give me the refrence,"Refrence: (2,15)"
22, (These are they who have bartered Guidance for error: But their traffic is profitless) give me the refrence,"Refrence: (2,16)"
23, (Their similitude is that of a man who kindled a fire; when it lighted all around him) give me the refrence,"Refrence: (2,17)"
24, (Deaf) give me the refrence,"Refrence: (2,18)"
25, (Or (another similitude) is that of a rain-laden cloud from the sky: In it are zones of darkness) give me the refrence,"Refrence: (2,19)"
26, (The lightning all but snatches away their sight; every time the light (Helps) them) give me the refrence,"Refrence: (2,20)"
27, (O ye people! Adore your Guardian-Lord) give me the refrence,"Refrence: (2,21)"
28, (Who has made the earth your couch) give me the refrence,"Refrence: (2,22)"
29, (And if ye are in doubt as to what We have revealed from time to time to Our servant) give me the refrence,"Refrence: (2,23)"
30, (But if ye cannot- and of a surety ye cannot- then fear the Fire whose fuel is men and stones) give me the refrence,"Refrence: (2,24)"
31, (But give glad tidings to those who believe and work righteousness) give me the refrence,"Refrence: (2,25)"
32, (Those who break Allah�s Covenant after it is ratified) give me the refrence,"Refrence: (2,27)"
33, (How can ye reject the faith in Allah?- seeing that ye were without life) give me the refrence,"Refrence: (2,28)"
34, (It is He Who hath created for you all things that are on earth; Moreover His design comprehended the heavens) give me the refrence,"Refrence: (2,29)"
35, (Behold) give me the refrence,"Refrence: (2,30)"
36, (And He taught Adam the names of all things; then He placed them before the angels) give me the refrence,"Refrence: (2,31)"
37," (They said: ""Glory to Thee) give me the refrence","Refrence: (2,32)"
38," (He said: ""O Adam! Tell them their names."" When he had told them) give me the refrence","Refrence: (2,33)"
39, (And behold) give me the refrence,"Refrence: (2,34)"
40," (We said: ""O Adam! dwell thou and thy wife in the Garden; and eat of the bountiful things therein as (where and when) ye will; but approach not this tree) give me the refrence","Refrence: (2,35)"
41, (Then did Satan make them slip from the (garden)) give me the refrence,"Refrence: (2,36)"
42, (Then learnt Adam from his Lord words of inspiration) give me the refrence,"Refrence: (2,37)"
43," (We said: ""Get ye down all from here; and if) give me the refrence","Refrence: (2,38)"
44," (""But those who reject Faith and belie Our Signs) give me the refrence","Refrence: (2,39)"
45, (O Children of Israel! call to mind the (special) favour which I bestowed upon you) give me the refrence,"Refrence: (2,40)"
46, (And believe in what I reveal) give me the refrence,"Refrence: (2,41)"
47, (And cover not Truth with falsehood) give me the refrence,"Refrence: (2,42)"
48, (And be steadfast in prayer; practise regular charity; and bow down your heads with those who bow down (in worship).) give me the refrence,"Refrence: (2,43)"
49, (Do ye enjoin right conduct on the people) give me the refrence,"Refrence: (2,44)"
50, (Nay) give me the refrence,"Refrence: (2,45)"
51, (Who bear in mind the certainty that they are to meet their Lord) give me the refrence,"Refrence: (2,46)"
52, (Children of Israel! call to mind the (special) favour which I bestowed upon you) give me the refrence,"Refrence: (2,47)"
53, (Then guard yourselves against a day when one soul shall not avail another nor shall intercession be accepted for her) give me the refrence,"Refrence: (2,48)"
54, (And remember) give me the refrence,"Refrence: (2,49)"
55, (And remember We divided the sea for you and saved you and drowned Pharaoh�s people within your very sight.) give me the refrence,"Refrence: (2,50)"
56, (And remember We appointed forty nights for Moses) give me the refrence,"Refrence: (2,51)"
57, (Even then We did forgive you; there was a chance for you to be grateful.) give me the refrence,"Refrence: (2,52)"
58, (And remember We gave Moses the Scripture and the Criterion (Between right and wrong): There was a chance for you to be guided aright.) give me the refrence,"Refrence: (2,53)"
